
2025-07-04 10:10:06 | INFO  | SYSTEM   | 启动     | 日志系统初始化成功
2025-07-04 10:10:06 | INFO  | SYSTEM   | 启动     | 系统启动时间: 2025-07-04 10:10:06
2025-07-04 10:10:06 | INFO  | SYSTEM   | 启动     | Java版本: 21.0.7
2025-07-04 10:10:06 | INFO  | SYSTEM   | 启动     | 操作系统: Windows 11 10.0
2025-07-04 10:10:06 | INFO  | SYSTEM   | 启动     | === 图书管理系统启动 ===
2025-07-04 10:10:06 | INFO  | GENERAL  | -      | 数据库配置: localhost:3306/rental
2025-07-04 10:10:06 | INFO  | GENERAL  | -      | 开始测试数据库连接
2025-07-04 10:10:06 | INFO  | DB       | 连接     | 尝试连接数据库: localhost:3306/rental
2025-07-04 10:10:06 | INFO  | DB       | 连接     | 驱动加载 - MySQL JDBC驱动加载成功
2025-07-04 10:10:06 | INFO  | UTIL     | 日志     | 数据库驱动加载成功
2025-07-04 10:10:06 | INFO  | DB       | 连接     | 连接成功 - 数据库: rental, 用户: root, 地址: localhost:3306
2025-07-04 10:10:06 | INFO  | UTIL     | 日志     | 数据库连接成功
2025-07-04 10:10:06 | INFO  | DB       | 连接     | 连接关闭 - 数据库连接已安全关闭
2025-07-04 10:10:06 | INFO  | UTIL     | 日志     | 数据库连接关闭成功
2025-07-04 10:10:06 | INFO  | GENERAL  | -      | 数据库连接测试成功
2025-07-04 10:10:06 | INFO  | DB       | 连接     | 尝试连接数据库: localhost:3306/rental
2025-07-04 10:10:06 | INFO  | DB       | 连接     | 驱动加载 - MySQL JDBC驱动加载成功
2025-07-04 10:10:06 | INFO  | UTIL     | 日志     | 数据库驱动加载成功
2025-07-04 10:10:06 | INFO  | DB       | 连接     | 连接成功 - 数据库: rental, 用户: root, 地址: localhost:3306
2025-07-04 10:10:06 | INFO  | UTIL     | 日志     | 数据库连接成功
2025-07-04 10:10:06 | INFO  | GENERAL  | -      | 连接池初始化成功
2025-07-04 10:10:07 | INFO  | GENERAL  | -      | GUI系统启动成功
2025-07-04 10:10:11 | INFO  | GENERAL  | -      | === 系统正常关闭 ===
2025-07-04 10:10:11 | INFO  | SYSTEM   | 关闭     | 日志系统关闭
2025-07-04 12:54:59 | INFO  | SYSTEM   | 启动     | 日志系统初始化成功
2025-07-04 12:54:59 | INFO  | SYSTEM   | 启动     | 系统启动时间: 2025-07-04 12:54:59
2025-07-04 12:54:59 | INFO  | SYSTEM   | 启动     | Java版本: 21.0.7
2025-07-04 12:54:59 | INFO  | SYSTEM   | 启动     | 操作系统: Windows 11 10.0
2025-07-04 12:54:59 | INFO  | SYSTEM   | 启动     | === 图书管理系统启动 ===
2025-07-04 12:54:59 | INFO  | GENERAL  | -      | 数据库配置: localhost:3306/rental
2025-07-04 12:54:59 | INFO  | GENERAL  | -      | 开始测试数据库连接
2025-07-04 12:54:59 | INFO  | DB       | 连接     | 尝试连接数据库: localhost:3306/rental
2025-07-04 12:54:59 | INFO  | DB       | 连接     | 驱动加载 - MySQL JDBC驱动加载成功
2025-07-04 12:54:59 | INFO  | UTIL     | 日志     | 数据库驱动加载成功
2025-07-04 12:54:59 | INFO  | DB       | 连接     | 连接成功 - 数据库: rental, 用户: root, 地址: localhost:3306
